Open,Close
14210,13474.99
13474.99,13539.93
13539.93,10900
10900,10988.79
10988.79,10961.97
10961.97,11474.98
11474.98,12799.94
12799.94,11530
11530,10760.05
10760.05,10799.18
10799.18,11350
11349.99,11175.27
11175.27,11089
11089,11498.31
11498.31,11879.95
11879.95,11251
11251,10237.51
10237.51,10285.1
10285.1,9224.52
9224.52,8873.03
8873.03,9199.96
9199.96,8184.81
8184.81,6939.99
6939.99,7652.14
7652.14,7599
7599,7784.02
7784.02,8683.92
8683.92,8533.98
8533.98,8063.88
8063.88,8903
8903,8539.9
8539.9,9449.99
9449.99,10000.09
10000.09,10159.98
10159.98,11039.55
11039.55,10388.87
10383.43,11153
11153,11200.99
11200.99,10437.6
10437.6,9812
9811.04,10131.04
10131.04,9694.51
9694.51,9590
9590,10324
10324,10569.04
10569.04,10326.76
10326.76,10920
10920,11039
11039,11464.48
11464.48,11515
11515,11454
11454,10716.48
10716.48,9910
9910,9271.64
9271.64,9227
9227,8770.22
8770.22,9533.57
9533.57,9131.22
9131.34,9150
9150,8170
8170,8240.98
8240.98,8260
8260,7824.8
7824.8,8189.99
8189.99,8600
8600,8909.98
8909.98,8885
8885,8722.9
8722.9,8898.03
8898.03,8546.86
8546.86,8470.15
8470.15,8134.23
8134.23,7795.51
7795.51,7949.3
7949.3,7090.14
7090.14,6840.23
6840.23,6923.91
6923.91,6813.01
6813.01,7056
7056,7405.21
7405.21,6796.1
6796.1,6770.76
6770.76,6601.39
6601.39,6895.8
6895.8,7018
7018,6782.72
6782.72,6843.9
6843.9,6953.79
6953.79,7923
7923,7877.41
7877.41,7999.01
7999.01,8355
8355,8064.92
8064.92,7885.02
7885.02,8173
8173,8278
8278,8856.98
8856.98,8915.31
8915.31,8787.02
8787.02,8934.01
8934.01,9622.02
9619.99,8869.99
8869.99,9266
9266,8915.35
8915.35,9348
9348,9419
9419,9246.01
9246.01,9071.48
9071.48,9247.84
9247.84,9750
9750,9713.99
9713.99,9864
9864,9659.01
9659.01,9365
9365,9184
9187.56,9310
9310,9002.2
9002.2,8400
8400,8465.94
8465.94,8679.71
8679.71,8663.34
8663.34,8462
8462,8330
8330,8041.46
8041.46,8239.81
8239.81,8233.49
8233.49,8526.98
8526.98,8381.24
8381.24,7977.11
7977.11,7501.95
7501.95,7575.01
7575.01,7457
7457,7333.96
7333.96,7338.99
7338.99,7099
7099,7461.29
7461.29,7375.96
7375.96,7485.01
7485.01,7521.01
7521.01,7640.03
7640.03,7714.26
7714.26,7487
7487,7625
7625,7658.84
7658.84,7691.08
7691.08,7603.44
7603.44,7491.73
7491.73,6764.99
6764.99,6872
6872,6530
6530,6292.78
6292.78,6635.98
6635.98,6388.9
6388.9,6483.98
6483.98,6449.61
6449.61,6712.46
6712.46,6741.21
6741.21,6761.51
6761.51,6718.84
6718.84,6045
6045,6149.98
6149.98,6136.97
6136.97,6252
6252,6070.78
6070.78,6133.73
6133.73,5853.98
